SITC1,SITC2,Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,England,South West,Exports (000's),2021,Q2,243
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,England,South West,Exports (000's),2021,Q3,312
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,England,South West,Exports (000's),2021,Q4,635
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Wales,Wales,Exports (000's),2021,Q1,372
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Wales,Wales,Exports (000's),2021,Q2,147
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Wales,Wales,Exports (000's),2021,Q3,188
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Wales,Wales,Exports (000's),2021,Q4,219
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Scotland,Scotland,Exports (000's),2021,Q1,229
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Scotland,Scotland,Exports (000's),2021,Q2,122
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Scotland,Scotland,Exports (000's),2021,Q3,169
9 - Commodities/transactions not class'd elsewhere in SITC,93 - Special transactions and commodities not classified according to kind,Scotland,Scotland,Exports (000's),2021,Q4,62
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,North East,Exports (000's),2021,Q1,11
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,North West,Exports (000's),2021,Q1,24
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,North West,Exports (000's),2021,Q2,38
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,North West,Exports (000's),2021,Q3,75
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,North West,Exports (000's),2021,Q4,23
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,Yorkshire and The Humber,Exports (000's),2021,Q1,10
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,Yorkshire and The Humber,Exports (000's),2021,Q2,6
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,Yorkshire and The Humber,Exports (000's),2021,Q3,3
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,Yorkshire and The Humber,Exports (000's),2021,Q4,2
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East Midlands,Exports (000's),2021,Q1,134
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East Midlands,Exports (000's),2021,Q2,99
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East Midlands,Exports (000's),2021,Q3,172
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East Midlands,Exports (000's),2021,Q4,18
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,West Midlands,Exports (000's),2021,Q1,3005
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,West Midlands,Exports (000's),2021,Q2,3458
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,West Midlands,Exports (000's),2021,Q3,2455
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,West Midlands,Exports (000's),2021,Q4,1445
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East,Exports (000's),2021,Q1,34
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East,Exports (000's),2021,Q2,28
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East,Exports (000's),2021,Q3,13
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,East,Exports (000's),2021,Q4,6
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,London,Exports (000's),2021,Q1,405
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,London,Exports (000's),2021,Q2,467
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,London,Exports (000's),2021,Q3,350
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,London,Exports (000's),2021,Q4,383
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South East,Exports (000's),2021,Q1,283
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South East,Exports (000's),2021,Q2,164
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South East,Exports (000's),2021,Q3,109
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South East,Exports (000's),2021,Q4,28
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South West,Exports (000's),2021,Q1,1285
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South West,Exports (000's),2021,Q2,1560
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South West,Exports (000's),2021,Q3,918
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",England,South West,Exports (000's),2021,Q4,622
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Wales,Wales,Exports (000's),2021,Q1,2136
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Wales,Wales,Exports (000's),2021,Q2,9717
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Wales,Wales,Exports (000's),2021,Q3,7115
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Wales,Wales,Exports (000's),2021,Q4,171
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Scotland,Scotland,Exports (000's),2021,Q1,17
9 - Commodities/transactions not class'd elsewhere in SITC,"96 - Coin (other than gold coin), not being of legal tender",Scotland,Scotland,Exports (000's),2021,Q2,5
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2020,Q1,19
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2020,Q2,3
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2020,Q4,21
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2020,Q1,3882
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2020,Q2,3704
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2020,Q3,4682
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2020,Q4,4489
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2020,Q1,3400
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2020,Q2,3044
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2020,Q3,5339
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2020,Q4,5354
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2020,Q1,1117
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2020,Q2,1149
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2020,Q3,1589
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2020,Q4,1999
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2020,Q1,1374
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2020,Q2,1245
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2020,Q3,2464
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2020,Q4,2684
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2020,Q1,43791
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2020,Q2,19958
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2020,Q3,43777
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2020,Q4,222588
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2020,Q1,310
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2020,Q2,27
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2020,Q3,40
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2020,Q4,32
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2020,Q1,6163
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2020,Q2,3879
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2020,Q3,4746
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2020,Q4,14824
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2020,Q1,2056
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2020,Q2,405
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2020,Q3,755
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2020,Q4,1159
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2020,Q1,13368
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2020,Q2,13991
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2020,Q3,15980
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2020,Q4,11595
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2020,Q1,13848
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2020,Q2,13535
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2020,Q3,20332
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2020,Q4,18047
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2020,Q1,1536
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2020,Q2,1348
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2020,Q3,1102
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2020,Q4,1134
0 - Food & live animals,01 - Meat & meat preparations,England,North West,Exports (000's),2020,Q1,39828
0 - Food & live animals,01 - Meat & meat preparations,England,North West,Exports (000's),2020,Q2,37439
0 - Food & live animals,01 - Meat & meat preparations,England,North West,Exports (000's),2020,Q3,44311
0 - Food & live animals,01 - Meat & meat preparations,England,North West,Exports (000's),2020,Q4,37804
0 - Food & live animals,01 - Meat & meat preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q1,58704
0 - Food & live animals,01 - Meat & meat preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q2,57745
0 - Food & live animals,01 - Meat & meat preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q3,59142
0 - Food & live animals,01 - Meat & meat preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q4,62540
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2020,Q1,30975
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2020,Q2,29035
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2020,Q3,32460
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2020,Q4,35604
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2020,Q1,54772
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2020,Q2,50930
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2020,Q3,57088
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2020,Q4,60987
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2020,Q1,67373
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2020,Q2,69578
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2020,Q3,69722
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2020,Q4,85869
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2020,Q1,18001
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2020,Q2,15515
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2020,Q3,17128
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2020,Q4,22308
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2020,Q1,26723
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2020,Q2,22308
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2020,Q3,23609
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2020,Q4,22732
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2020,Q1,27250
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2020,Q2,27860
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2020,Q3,31611
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2020,Q4,34988
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2020,Q1,31800
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2020,Q2,33427
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2020,Q3,40903
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2020,Q4,38374
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2020,Q1,24993
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2020,Q2,18029
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2020,Q3,25864
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2020,Q4,28560
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2020,Q1,4344
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2020,Q2,3398
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2020,Q3,3579
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2020,Q4,4281
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2020,Q1,64054
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2020,Q2,62436
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2020,Q3,50334
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2020,Q4,70664
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2020,Q1,18407
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2020,Q2,20392
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2020,Q3,17744
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2020,Q4,18427
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2020,Q1,8000
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2020,Q2,6456
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2020,Q3,8989
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2020,Q4,8469
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2020,Q1,18107
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2020,Q2,15316
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2020,Q3,14751
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2020,Q4,15149
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2020,Q1,29289
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2020,Q2,22357
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2020,Q3,22380
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2020,Q4,21091
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2020,Q1,23290
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2020,Q2,21629
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2020,Q3,26574
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2020,Q4,25872
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2020,Q1,24431
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2020,Q2,19007
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2020,Q3,20641
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2020,Q4,21456
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2020,Q1,37992
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2020,Q2,35863
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2020,Q3,43346
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2020,Q4,47042
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2020,Q1,25768
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2020,Q2,26449
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2020,Q3,25770
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2020,Q4,28784
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2020,Q1,11014
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2020,Q2,13431
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2020,Q3,12920
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2020,Q4,15848
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2020,Q1,3877
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2020,Q2,2681
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2020,Q3,4193
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2020,Q4,4843
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2020,Q1,23402
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2020,Q2,25835
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2020,Q3,35584
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2020,Q4,32455
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2020,Q1,18182
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2020,Q2,14015
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2020,Q3,18363
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2020,Q4,20734
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2020,Q1,474
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2020,Q2,1952
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2020,Q3,13514
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2020,Q4,6057
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2020,Q1,1770
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2020,Q2,1247
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2020,Q3,2213
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2020,Q4,2587
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2020,Q1,8447
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2020,Q2,9516
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2020,Q3,12873
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2020,Q4,12872
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2020,Q1,12973
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2020,Q2,9318
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2020,Q3,10910
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2020,Q4,12536
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2020,Q1,17837
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2020,Q2,9962
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2020,Q3,14775
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2020,Q4,21267
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2020,Q1,27506
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2020,Q2,22686
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2020,Q3,27943
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2020,Q4,33496
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2020,Q1,3273
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2020,Q2,5853
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2020,Q3,9106
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2020,Q4,6644
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2020,Q1,185925
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2020,Q2,195253
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2020,Q3,258518
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2020,Q4,237082
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2020,Q1,9026
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2020,Q2,8028
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2020,Q3,8475
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2020,Q4,12470
0 - Food & live animals,04 - Cereals & cereal preparations,England,North West,Exports (000's),2020,Q1,97792
0 - Food & live animals,04 - Cereals & cereal preparations,England,North West,Exports (000's),2020,Q2,107107
0 - Food & live animals,04 - Cereals & cereal preparations,England,North West,Exports (000's),2020,Q3,119042
0 - Food & live animals,04 - Cereals & cereal preparations,England,North West,Exports (000's),2020,Q4,123213
0 - Food & live animals,04 - Cereals & cereal preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q1,38503
0 - Food & live animals,04 - Cereals & cereal preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q2,36244
0 - Food & live animals,04 - Cereals & cereal preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q3,36051
0 - Food & live animals,04 - Cereals & cereal preparations,England,Yorkshire and The Humber,Exports (000's),2020,Q4,45087
0 - Food & live animals,04 - Cereals & cereal preparations,England,East Midlands,Exports (000's),2020,Q1,67565
0 - Food & live animals,04 - Cereals & cereal preparations,England,East Midlands,Exports (000's),2020,Q2,69477
0 - Food & live animals,04 - Cereals & cereal preparations,England,East Midlands,Exports (000's),2020,Q3,59870
0 - Food & live animals,04 - Cereals & cereal preparations,England,East Midlands,Exports (000's),2020,Q4,86141
0 - Food & live animals,04 - Cereals & cereal preparations,England,West Midlands,Exports (000's),2020,Q1,19891
0 - Food & live animals,04 - Cereals & cereal preparations,England,West Midlands,Exports (000's),2020,Q2,14194
0 - Food & live animals,04 - Cereals & cereal preparations,England,West Midlands,Exports (000's),2020,Q3,16814
0 - Food & live animals,04 - Cereals & cereal preparations,England,West Midlands,Exports (000's),2020,Q4,23541
0 - Food & live animals,04 - Cereals & cereal preparations,England,East,Exports (000's),2020,Q1,73275
0 - Food & live animals,04 - Cereals & cereal preparations,England,East,Exports (000's),2020,Q2,64630
