SITC1,SITC2,Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2023,Q3,44323
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2023,Q4,55081
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2023,Q1,35207
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2023,Q2,34697
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2023,Q3,33956
0 - Food & live animals,01 - Meat & meat preparations,Scotland,Scotland,Exports (000's),2023,Q4,40680
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2023,Q1,4829
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2023,Q2,5721
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2023,Q3,7498
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North East,Exports (000's),2023,Q4,7393
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2023,Q1,79892
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2023,Q2,83148
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2023,Q3,71905
0 - Food & live animals,02 - Dairy products & birds' eggs,England,North West,Exports (000's),2023,Q4,73039
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2023,Q1,16388
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2023,Q2,20938
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2023,Q3,16932
0 - Food & live animals,02 - Dairy products & birds' eggs,England,Yorkshire and The Humber,Exports (000's),2023,Q4,15112
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2023,Q1,7507
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2023,Q2,6556
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2023,Q3,8901
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East Midlands,Exports (000's),2023,Q4,8345
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2023,Q1,21061
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2023,Q2,14868
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2023,Q3,16288
0 - Food & live animals,02 - Dairy products & birds' eggs,England,West Midlands,Exports (000's),2023,Q4,15507
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2023,Q1,17138
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2023,Q2,18503
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2023,Q3,16523
0 - Food & live animals,02 - Dairy products & birds' eggs,England,East,Exports (000's),2023,Q4,16199
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2023,Q1,27358
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2023,Q2,29214
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2023,Q3,29055
0 - Food & live animals,02 - Dairy products & birds' eggs,England,London,Exports (000's),2023,Q4,25730
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2023,Q1,28007
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2023,Q2,27848
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2023,Q3,28287
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South East,Exports (000's),2023,Q4,23484
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2023,Q1,60756
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2023,Q2,55751
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2023,Q3,57803
0 - Food & live animals,02 - Dairy products & birds' eggs,England,South West,Exports (000's),2023,Q4,59093
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2023,Q1,33980
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2023,Q2,32378
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2023,Q3,33286
0 - Food & live animals,02 - Dairy products & birds' eggs,Wales,Wales,Exports (000's),2023,Q4,31606
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2023,Q1,14424
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2023,Q2,14016
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2023,Q3,15385
0 - Food & live animals,02 - Dairy products & birds' eggs,Scotland,Scotland,Exports (000's),2023,Q4,16232
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2023,Q1,4590
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2023,Q2,5012
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2023,Q3,5300
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North East,Exports (000's),2023,Q4,4894
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2023,Q1,12955
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2023,Q2,14198
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2023,Q3,11717
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,North West,Exports (000's),2023,Q4,15046
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2023,Q1,11603
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2023,Q2,10376
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2023,Q3,13783
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,Yorkshire and The Humber,Exports (000's),2023,Q4,18016
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2023,Q1,1451
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2023,Q2,985
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2023,Q3,11784
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East Midlands,Exports (000's),2023,Q4,2600
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2023,Q1,1283
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2023,Q2,1474
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2023,Q3,1414
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,West Midlands,Exports (000's),2023,Q4,1014
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2023,Q1,11782
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2023,Q2,9987
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2023,Q3,16433
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,East,Exports (000's),2023,Q4,13945
