TERRITORY_ID,LEVEL_ID,NAME_HTML,UNIT,VERSIONS,SECTOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BG33,2,Severoiztochen,Million EUR,2021,Total,,,,,,,,,,,,,,,,11514,11508.98,11725.99,11980.74,12237.06,12538.9,13164.24,13264.43,13420.15,13654.62,14125.31,14695.8,15435.79,16302.01,17004.69,17217.24,17518.53,17776.58,17984.75,18286.97,18944.16,19309.19,19611.06,20160.01,20409.01,20546.7,20613.46,20730.77,20815.59,20923.89,21049.13
BG34,2,Yugoiztochen,Million EUR,2021,Total,,,,,,,,,,,,,,,,7945,7852.52,7926.34,7979.45,8003.22,8031.95,8464.59,8633.47,8743.54,9192.01,9672.87,10471.82,11320.08,12514.86,13431.53,13817.9,14165.1,14715.44,15566.46,16503.37,17172.38,17323.99,17643.71,18244.42,18569.76,18767.73,18860.38,18877.6,18854.69,18857.54,18878.27
BG4,1,Yugozapadna i yuzhna tsentralna Bulgaria,Million EUR,2021,Total,,,,,,,,,,,,,,,,29811,29677.54,30163.36,30724.76,31331.16,31934.3,32460.3,34002.12,35477.69,37106.56,39916.23,43293.85,47261.87,53154.37,56897.11,59138.03,61207.55,63422.95,65357.76,66729.21,67681.51,69231.35,70815.07,72072.34,74227.87,76588.83,78163.52,80159.41,81921.69,83881.72,85991.28
BG41,2,Yugozapaden,Million EUR,2021,Total,,,,,,,,,,,,,,,,14929,14787.69,14957.25,15117.94,15300.36,15406.2,15667.11,17082.97,18487.69,20028.2,22438.73,25415.75,28697.24,33757.84,37080.91,39166.25,40899.38,42698.88,44114.95,44922,45433.32,46177.3,47247.54,48029.27,49670.32,51814.22,52919.42,54415.43,55731.23,57198.48,58780.03
BG42,2,Yuzhen tsentralen,Million EUR,2021,Total,,,,,,,,,,,,,,,,14882,14889.86,15206.1,15606.83,16030.8,16528.1,16793.17,16919.14,16989.97,17078.34,17477.49,17878.09,18564.62,19396.51,19816.16,19971.74,20308.13,20724.02,21242.76,21807.16,22248.14,23054.01,23567.49,24043.03,24557.51,24774.57,25244.07,25743.94,26190.42,26683.21,27211.21
CY,0,Cyprus,Million EUR,2021,Total,,,,,,,,,,,,,,,,22800,23961.93,25200.4,25950.82,27052.87,28087.64,29094.09,30387.8,31682.41,33091.5,34699.96,37009.15,39576.23,42451.66,44567.07,46513.22,47862.61,48436.7,48537.7,48441.81,48333.82,49388.59,51134.31,52611.9,54329.84,56201.26,58080.01,60228.16,62475.61,64755.76,67111.19
CY0,1,Kypros,Million EUR,2021,Total,,,,,,,,,,,,,,,,22800,23961.92,25200.4,25950.82,27052.87,28087.63,29094.09,30387.79,31682.39,33091.48,34699.94,37009.13,39576.21,42451.64,44567.05,46513.2,47862.59,48436.69,48537.69,48441.79,48333.8,49388.57,51134.29,52611.89,54329.82,56201.24,58079.99,60228.14,62475.6,64755.75,67111.18
CY00,2,Kypros,Million EUR,2021,Total,,,,,,,,,,,,,,,,22800,23961.92,25200.4,25950.82,27052.87,28087.63,29094.09,30387.79,31682.39,33091.48,34699.94,37009.13,39576.21,42451.64,44567.05,46513.2,47862.59,48436.69,48537.69,48441.79,48333.8,49388.57,51134.29,52611.89,54329.82,56201.24,58079.99,60228.14,62475.6,64755.75,67111.18
CZ,0,Czechia,Million EUR,2021,Total,,,,,,,,,,,,,,,,313401,326236.02,336421.4,345540.4,353511.47,362642.33,372700.01,382376.13,391890.8,402098.98,413767.71,426235.09,442067.77,456949.01,467142.16,476656.45,485691.8,493288.75,499385.39,506122.72,516029.85,523623.56,532641.94,545003.11,559098.1,568589.26,577709.34,588731.97,600177.95,612062.77,624684.65
CZ0,1,Cesko,Million EUR,2021,Total,,,,,,,,,,,,,,,,313401,326236.02,336421.4,345540.4,353511.47,362642.33,372700.01,382376.13,391890.8,402098.98,413767.71,426235.09,442067.77,456949.01,467142.16,476656.45,485691.8,493288.75,499385.39,506122.72,516029.85,523623.56,532641.94,545003.11,559098.1,568589.26,577709.34,588731.97,600177.95,612062.77,624684.65
CZ01,2,Praha,Million EUR,2021,Total,,,,,,,,,,,,,,,,50921,52761.5,54865.66,56355.57,57959.63,59973.67,61835.41,63586.04,64416.03,66041.84,67930.67,70699.66,75040.21,79246.7,82231.25,84378.25,86633.74,88525.89,90808.84,92789.67,96145.49,98898.43,102198.6,108023.16,113359.82,117995.03,122225.08,126447.18,130814.73,135333.1,140093.91
CZ02,2,Strední Cechy,Million EUR,2021,Total,,,,,,,,,,,,,,,,34504,36339.13,37627.77,39362.37,40835.06,42422.87,44292.9,45679.67,47435.27,49763.25,52503.72,54804.35,57236.66,59014.36,60341.35,61559.96,63143.2,64699.46,66107.44,67571.6,68958.31,70603.58,72348.15,75707.69,79533.46,81724.81,84094.58,86977.79,89946.92,93005.25,96197.12
CZ03,2,Jihozápad,Million EUR,2021,Total,,,,,,,,,,,,,,,,49686,51916.17,53368.46,54851.1,56050.93,57481.79,58751.49,59753.39,60955.44,62254.19,63670.77,65398.94,66978.15,68296,69442.1,70421.08,71088.74,71571.55,72260.69,72640.59,73184.67,73527.84,73934.91,74510.89,75320.79,75799.31,76221.21,77073.22,77960.7,78884.96,79872.77
CZ04,2,Severozápad,Million EUR,2021,Total,,,,,,,,,,,,,,,,32683,34037.87,34940.09,35617.44,35912.22,36192.93,37011.23,37717.14,38824.21,39445.29,40021.99,40714.26,41936.73,43039.13,43799.51,45307.94,46685.71,47825.47,48646.95,49389.58,50165.84,50939.92,51928.15,52676.53,53400.96,54277.07,54855.98,55481.25,56132.69,56811.25,57536.76
CZ05,2,Severovýchod,Million EUR,2021,Total,,,,,,,,,,,,,,,,37531,38717.42,39545.58,40182.59,40607.95,41493.29,42011.09,43170.72,44310.1,45570.69,46514.78,47177.63,48182.84,49374.03,49903.34,50475.7,50789.89,51049.07,50895.98,51273.91,52157.22,52485.91,53080.07,53498.58,53992.44,53919.8,54187.9,54529.15,54897.41,55293.61,55745.81
CZ06,2,Jihovýchod,Million EUR,2021,Total,,,,,,,,,,,,,,,,43831,45675.36,47186.99,48672.44,49938.61,51433.43,52662.28,53978.97,55994.24,57533.78,60033.92,62200,65039.78,67428.35,69004.56,70436.61,71778.13,72857.9,73081.93,74025.99,75109.41,76089.53,77012.52,77936.28,79541.86,80122.61,80629.75,81556.87,82529.92,83550.53,84657.79
CZ07,2,Strední Morava,Million EUR,2021,Total,,,,,,,,,,,,,,,,27944,29004.31,29660.64,30482.75,31215.42,32045.86,33502.59,34885.44,35802.69,36887.66,37767.33,38796.03,39985.12,40982.46,41979.97,42846.56,43480.28,43893.58,44077.59,44629.54,45378.13,45900.88,46444.95,46930.03,47774.96,48183.04,48689.85,49375.17,50091.8,50840.86,51647.64
