industry,itl2,employment
013 : Plant propagation,K2DorsetandSomerset,0
013 : Plant propagation,M7EasternScotland,0
013 : Plant propagation,F2LeicestershireRutlandand,0
013 : Plant propagation,C2NorthumberlandandTyneand,0
013 : Plant propagation,E3SouthYorkshire,0
013 : Plant propagation,M5NorthEasternScotland,0
013 : Plant propagation,D1Cumbria,0
013 : Plant propagation,F1DerbyshireandNottinghamsh,0
013 : Plant propagation,L1WestWales,0
013 : Plant propagation,I7OuterLondonWestandNor,0
013 : Plant propagation,K1GloucestershireWiltshire,0
013 : Plant propagation,I3InnerLondonWest,0
013 : Plant propagation,H2BedfordshireandHertfordsh,0
013 : Plant propagation,J1BerkshireBuckinghamshire,0
013 : Plant propagation,D4Lancashire,0
013 : Plant propagation,J2SurreyEastandWestSusse,0
013 : Plant propagation,E1EastYorkshireandNorthern,0
013 : Plant propagation,H3Essex,0
013 : Plant propagation,M6HighlandsandIslands,0
013 : Plant propagation,H1EastAnglia,0
013 : Plant propagation,G2ShropshireandStaffordshir,0
013 : Plant propagation,M8WestCentralScotland,0
013 : Plant propagation,G3WestMidlands,0
013 : Plant propagation,J3HampshireandIsleofWight,0
013 : Plant propagation,L2EastWales,0
013 : Plant propagation,J4Kent,0
013 : Plant propagation,K3CornwallandIslesofScill,0
013 : Plant propagation,K4Devon,0
013 : Plant propagation,I5OuterLondonEastandNor,0
013 : Plant propagation,I6OuterLondonSouth,0
013 : Plant propagation,D7Merseyside,0
014 : Animal production,I5OuterLondonEastandNor,0
014 : Animal production,I6OuterLondonSouth,0
014 : Animal production,M9SouthernScotland,0
014 : Animal production,K4Devon,0
014 : Animal production,M8WestCentralScotland,0
014 : Animal production,J2SurreyEastandWestSusse,0
014 : Animal production,E3SouthYorkshire,0
014 : Animal production,D1Cumbria,0
014 : Animal production,J3HampshireandIsleofWight,0
014 : Animal production,M6HighlandsandIslands,0
014 : Animal production,C2NorthumberlandandTyneand,0
014 : Animal production,L2EastWales,0
014 : Animal production,E2NorthYorkshire,0
014 : Animal production,F3Lincolnshire,0
014 : Animal production,D3GreaterManchester,0
014 : Animal production,G2ShropshireandStaffordshir,0
014 : Animal production,K1GloucestershireWiltshire,0
014 : Animal production,M5NorthEasternScotland,0
014 : Animal production,I4InnerLondonEast,0
014 : Animal production,H1EastAnglia,0
014 : Animal production,G3WestMidlands,0
014 : Animal production,J1BerkshireBuckinghamshire,0
014 : Animal production,K3CornwallandIslesofScill,0
014 : Animal production,L1WestWales,0
014 : Animal production,H2BedfordshireandHertfordsh,0
014 : Animal production,E4WestYorkshire,0
014 : Animal production,F2LeicestershireRutlandand,0
014 : Animal production,D7Merseyside,0
014 : Animal production,M7EasternScotland,0
014 : Animal production,C1TeesValleyandDurham,0
014 : Animal production,D4Lancashire,0
014 : Animal production,D6Cheshire,0
014 : Animal production,F1DerbyshireandNottinghamsh,0
014 : Animal production,E1EastYorkshireandNorthern,0
014 : Animal production,I3InnerLondonWest,0
014 : Animal production,H3Essex,0
014 : Animal production,K2DorsetandSomerset,0
014 : Animal production,I7OuterLondonWestandNor,0
014 : Animal production,J4Kent,0
014 : Animal production,G1HerefordshireWorcestershi,0
015 : Mixed farming,K1GloucestershireWiltshire,0
015 : Mixed farming,D7Merseyside,0
015 : Mixed farming,I3InnerLondonWest,0
015 : Mixed farming,E4WestYorkshire,0
015 : Mixed farming,G1HerefordshireWorcestershi,0
015 : Mixed farming,M7EasternScotland,0
015 : Mixed farming,J2SurreyEastandWestSusse,0
015 : Mixed farming,D4Lancashire,0
015 : Mixed farming,F3Lincolnshire,0
015 : Mixed farming,D6Cheshire,0
015 : Mixed farming,J3HampshireandIsleofWight,0
015 : Mixed farming,J1BerkshireBuckinghamshire,0
015 : Mixed farming,I6OuterLondonSouth,0
015 : Mixed farming,J4Kent,0
015 : Mixed farming,L1WestWales,0
015 : Mixed farming,C1TeesValleyandDurham,0
015 : Mixed farming,I4InnerLondonEast,0
015 : Mixed farming,K3CornwallandIslesofScill,0
015 : Mixed farming,I5OuterLondonEastandNor,0
015 : Mixed farming,E1EastYorkshireandNorthern,0
015 : Mixed farming,C2NorthumberlandandTyneand,0
015 : Mixed farming,F1DerbyshireandNottinghamsh,0
015 : Mixed farming,D3GreaterManchester,0
015 : Mixed farming,H1EastAnglia,0
015 : Mixed farming,H2BedfordshireandHertfordsh,0
015 : Mixed farming,G2ShropshireandStaffordshir,0
015 : Mixed farming,I7OuterLondonWestandNor,0
015 : Mixed farming,K4Devon,0
015 : Mixed farming,H3Essex,0
015 : Mixed farming,M8WestCentralScotland,0
015 : Mixed farming,M5NorthEasternScotland,0
015 : Mixed farming,G3WestMidlands,0
015 : Mixed farming,E2NorthYorkshire,0
015 : Mixed farming,D1Cumbria,0
015 : Mixed farming,E3SouthYorkshire,0
015 : Mixed farming,K2DorsetandSomerset,0
015 : Mixed farming,F2LeicestershireRutlandand,0
015 : Mixed farming,M9SouthernScotland,0
015 : Mixed farming,M6HighlandsandIslands,0
015 : Mixed farming,L2EastWales,0
016 : Support activities to agriculture and post-harvest crop activities,M8WestCentralScotland,42.5
016 : Support activities to agriculture and post-harvest crop activities,I4InnerLondonEast,51.25
016 : Support activities to agriculture and post-harvest crop activities,I5OuterLondonEastandNor,55
016 : Support activities to agriculture and post-harvest crop activities,I3InnerLondonWest,63.75
016 : Support activities to agriculture and post-harvest crop activities,I6OuterLondonSouth,81.875
016 : Support activities to agriculture and post-harvest crop activities,I7OuterLondonWestandNor,81.875
016 : Support activities to agriculture and post-harvest crop activities,G3WestMidlands,97.5
016 : Support activities to agriculture and post-harvest crop activities,C2NorthumberlandandTyneand,127.5
016 : Support activities to agriculture and post-harvest crop activities,C1TeesValleyandDurham,165.625
016 : Support activities to agriculture and post-harvest crop activities,K3CornwallandIslesofScill,171.875
016 : Support activities to agriculture and post-harvest crop activities,E3SouthYorkshire,181.25
016 : Support activities to agriculture and post-harvest crop activities,D7Merseyside,203.125
016 : Support activities to agriculture and post-harvest crop activities,E4WestYorkshire,211.25
016 : Support activities to agriculture and post-harvest crop activities,D3GreaterManchester,224.375
016 : Support activities to agriculture and post-harvest crop activities,D1Cumbria,234.375
016 : Support activities to agriculture and post-harvest crop activities,M6HighlandsandIslands,243.75
016 : Support activities to agriculture and post-harvest crop activities,K4Devon,287.5
016 : Support activities to agriculture and post-harvest crop activities,L2EastWales,290.625
016 : Support activities to agriculture and post-harvest crop activities,M5NorthEasternScotland,293.75
016 : Support activities to agriculture and post-harvest crop activities,E1EastYorkshireandNorthern,418.75
016 : Support activities to agriculture and post-harvest crop activities,H2BedfordshireandHertfordsh,425
016 : Support activities to agriculture and post-harvest crop activities,G1HerefordshireWorcestershi,431.25
016 : Support activities to agriculture and post-harvest crop activities,H3Essex,437.5
016 : Support activities to agriculture and post-harvest crop activities,D4Lancashire,440.625
016 : Support activities to agriculture and post-harvest crop activities,J3HampshireandIsleofWight,481.25
016 : Support activities to agriculture and post-harvest crop activities,M9SouthernScotland,487.5
016 : Support activities to agriculture and post-harvest crop activities,K2DorsetandSomerset,537.5
016 : Support activities to agriculture and post-harvest crop activities,E2NorthYorkshire,565.625
016 : Support activities to agriculture and post-harvest crop activities,L1WestWales,600
016 : Support activities to agriculture and post-harvest crop activities,J1BerkshireBuckinghamshire,643.75
016 : Support activities to agriculture and post-harvest crop activities,F1DerbyshireandNottinghamsh,737.5
016 : Support activities to agriculture and post-harvest crop activities,K1GloucestershireWiltshire,743.75
016 : Support activities to agriculture and post-harvest crop activities,F2LeicestershireRutlandand,768.75
016 : Support activities to agriculture and post-harvest crop activities,G2ShropshireandStaffordshir,821.875
016 : Support activities to agriculture and post-harvest crop activities,J2SurreyEastandWestSusse,875
016 : Support activities to agriculture and post-harvest crop activities,M7EasternScotland,893.75
016 : Support activities to agriculture and post-harvest crop activities,D6Cheshire,968.75
016 : Support activities to agriculture and post-harvest crop activities,J4Kent,993.75
016 : Support activities to agriculture and post-harvest crop activities,F3Lincolnshire,1306.25
016 : Support activities to agriculture and post-harvest crop activities,H1EastAnglia,2781.25
"017 : Hunting, trapping and related service activities",D4Lancashire,0
"017 : Hunting, trapping and related service activities",I5OuterLondonEastandNor,0
"017 : Hunting, trapping and related service activities",I6OuterLondonSouth,0
"017 : Hunting, trapping and related service activities",D7Merseyside,0
"017 : Hunting, trapping and related service activities",I4InnerLondonEast,0
"017 : Hunting, trapping and related service activities",I7OuterLondonWestandNor,.625
"017 : Hunting, trapping and related service activities",M8WestCentralScotland,1.25
"017 : Hunting, trapping and related service activities",G3WestMidlands,2.5
"017 : Hunting, trapping and related service activities",L1WestWales,4.375
"017 : Hunting, trapping and related service activities",K3CornwallandIslesofScill,5.625
"017 : Hunting, trapping and related service activities",J4Kent,6.25
"017 : Hunting, trapping and related service activities",D6Cheshire,6.25
"017 : Hunting, trapping and related service activities",E3SouthYorkshire,8.75
"017 : Hunting, trapping and related service activities",D3GreaterManchester,12.5
"017 : Hunting, trapping and related service activities",H3Essex,15
"017 : Hunting, trapping and related service activities",J2SurreyEastandWestSusse,16.25
"017 : Hunting, trapping and related service activities",E1EastYorkshireandNorthern,16.875
"017 : Hunting, trapping and related service activities",M5NorthEasternScotland,16.875
"017 : Hunting, trapping and related service activities",L2EastWales,18.75
"017 : Hunting, trapping and related service activities",F2LeicestershireRutlandand,19.375
"017 : Hunting, trapping and related service activities",G1HerefordshireWorcestershi,20.625
"017 : Hunting, trapping and related service activities",K4Devon,20.625
"017 : Hunting, trapping and related service activities",D1Cumbria,21.25
"017 : Hunting, trapping and related service activities",F3Lincolnshire,22.5
"017 : Hunting, trapping and related service activities",E4WestYorkshire,22.5
"017 : Hunting, trapping and related service activities",F1DerbyshireandNottinghamsh,27.5
"017 : Hunting, trapping and related service activities",G2ShropshireandStaffordshir,36.25
"017 : Hunting, trapping and related service activities",C2NorthumberlandandTyneand,36.25
"017 : Hunting, trapping and related service activities",H2BedfordshireandHertfordsh,40.625
"017 : Hunting, trapping and related service activities",K2DorsetandSomerset,41.25
"017 : Hunting, trapping and related service activities",M9SouthernScotland,42.5
"017 : Hunting, trapping and related service activities",J1BerkshireBuckinghamshire,51.25
"017 : Hunting, trapping and related service activities",C1TeesValleyandDurham,52.5
"017 : Hunting, trapping and related service activities",H1EastAnglia,62.5
"017 : Hunting, trapping and related service activities",I3InnerLondonWest,68.125
"017 : Hunting, trapping and related service activities",K1GloucestershireWiltshire,69.375
"017 : Hunting, trapping and related service activities",J3HampshireandIsleofWight,72.5
"017 : Hunting, trapping and related service activities",M7EasternScotland,84.375
"017 : Hunting, trapping and related service activities",M6HighlandsandIslands,90.625
"017 : Hunting, trapping and related service activities",E2NorthYorkshire,265.625
021 : Silviculture and other forestry activities,D7Merseyside,11.25
021 : Silviculture and other forestry activities,I5OuterLondonEastandNor,31.25
021 : Silviculture and other forestry activities,K3CornwallandIslesofScill,32.5
021 : Silviculture and other forestry activities,I7OuterLondonWestandNor,33.75
021 : Silviculture and other forestry activities,E3SouthYorkshire,36.25
021 : Silviculture and other forestry activities,E1EastYorkshireandNorthern,36.875
021 : Silviculture and other forestry activities,C1TeesValleyandDurham,42.5
021 : Silviculture and other forestry activities,D4Lancashire,43.125
021 : Silviculture and other forestry activities,G3WestMidlands,45.625
021 : Silviculture and other forestry activities,I6OuterLondonSouth,59.375
021 : Silviculture and other forestry activities,I3InnerLondonWest,63.125
021 : Silviculture and other forestry activities,M8WestCentralScotland,68.75
021 : Silviculture and other forestry activities,D3GreaterManchester,73.75
021 : Silviculture and other forestry activities,E4WestYorkshire,84.375
021 : Silviculture and other forestry activities,I4InnerLondonEast,110.625
021 : Silviculture and other forestry activities,D6Cheshire,128.125
021 : Silviculture and other forestry activities,H3Essex,146.875
021 : Silviculture and other forestry activities,F3Lincolnshire,156.25
021 : Silviculture and other forestry activities,G1HerefordshireWorcestershi,162.5
021 : Silviculture and other forestry activities,D1Cumbria,165.625
021 : Silviculture and other forestry activities,K2DorsetandSomerset,196.875
021 : Silviculture and other forestry activities,F2LeicestershireRutlandand,203.125
021 : Silviculture and other forestry activities,C2NorthumberlandandTyneand,225
021 : Silviculture and other forestry activities,M5NorthEasternScotland,225
021 : Silviculture and other forestry activities,J4Kent,228.125
021 : Silviculture and other forestry activities,H2BedfordshireandHertfordsh,237.5
021 : Silviculture and other forestry activities,G2ShropshireandStaffordshir,240.625
021 : Silviculture and other forestry activities,K4Devon,240.625
021 : Silviculture and other forestry activities,J1BerkshireBuckinghamshire,243.75
021 : Silviculture and other forestry activities,E2NorthYorkshire,250
021 : Silviculture and other forestry activities,F1DerbyshireandNottinghamsh,318.75
021 : Silviculture and other forestry activities,K1GloucestershireWiltshire,337.5
021 : Silviculture and other forestry activities,L2EastWales,381.25
021 : Silviculture and other forestry activities,H1EastAnglia,418.75
021 : Silviculture and other forestry activities,L1WestWales,465.625
021 : Silviculture and other forestry activities,J2SurreyEastandWestSusse,481.25
